Date and Time:                Fri Apr 13 12:22:48.444 2018
Software Version:             4.30.30034.0
Temperature (C):              -30
Model:                        DH334T-18U-03
Data Type:                    Counts
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         2
Accumulate Cycle Time (secs): 2
Frequency (Hz):               0.5
Number of Accumulations:      10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         true
Vertical Shift Speed (usecs): 6.5
Pixel Readout Rate (MHz):     0.05
Clock Amplitude:              Normal
Serial Number:                5999
Pre-Amplifier Gain:           1.000000
Intelligate:                  off
Insertion delay:              normal
Gain level:                   500
Integrate on chip:            off
PIV Mode:                     off
Gate Mode:                    Fire only
Gate Width (nsecs):           0
Gate Delay (nsecs):           0
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR750:
Serial Number:                SR-1311
Wavelength (nm):              624.89
Grating Groove Density (l/mm):1199.66
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



400	0
400.21982	7715.75
400.43967	7721
400.65948	7691.92
400.87933	7687.23
401.09915	7688.96
401.319	7694.07
401.53882	7713.44
401.75867	7746.75
401.97849	7786.7
402.19833	7825.15
402.41815	7852.94
402.638	7864.49
402.85782	7864.31
403.07767	7863.97
403.29749	7872.66
403.51733	7893.2
403.73715	7929.31
403.957	7995.09
404.17682	8099.22
404.39667	8207.32
404.61649	8255.89
404.83633	8231.13
405.05615	8191.88
405.276	8195.43
405.49582	8243.35
405.71567	8313.38
405.93549	8401.17
406.15533	8501.65
406.37518	8592.72
406.595	8671.34
406.81485	8761.35
407.03467	8869.54
407.25452	8973.25
407.47433	9047.51
407.69418	9081.47
407.914	9083.75
408.13385	9079.73
408.35367	9097.7
408.57352	9146.06
408.79333	9206.81
409.01318	9260.95
409.233	9308.83
409.45285	9360.43
409.67267	9419.25
409.89252	9484.18
410.11234	9553.22
410.33218	9621.69
410.552	9687.2
410.77185	9754.12
410.99167	9827.95
411.21152	9909.41
411.43134	9994.3
411.65118	10068.5
411.871	10084.8
412.09085	9952.18
412.3107	9600.38
412.53052	9089.73
412.75037	8604.94
412.97018	8293.22
413.19003	8147.95
413.40985	8079.72
413.6297	8033.06
413.84952	7998.55
414.06937	7975.71
414.28918	7964.59
414.50903	7965.45
414.72885	7977.38
414.9487	8003.07
415.16852	8045.51
415.38837	8094.7
415.60818	8127.67
415.82803	8136.47
416.04785	8142.48
416.2677	8162.8
416.48752	8187.44
416.70737	8211.04
416.92719	8247.87
417.14703	8303.79
417.36685	8370.32
417.5867	8438.61
417.80652	8496.73
418.02637	8537.95
418.24619	8574.5
418.46603	8624.03
418.68588	8689.16
418.9057	8750.49
419.12555	8777.06
419.34537	8757.85
419.56522	8717.04
419.78503	8684.82
420.00488	8669.22
420.2247	8669.01
420.44455	8690.31
420.66437	8732.14
420.88422	8770.92
421.10403	8768.6
421.32388	8701.21
421.5437	8590.56
421.76355	8492.46
421.98337	8442.4
422.20322	8433.12
422.42303	8439.36
422.64288	8439.21
422.8627	8423.19
423.08255	8396.9
423.30237	8365.07
423.52222	8320.48
423.74203	8262.17
423.96188	8208.01
424.1817	8175.09
424.40155	8165.83
424.62137	8179.27
424.84122	8209.98
425.06107	8244.11
425.28088	8270.31
425.50073	8281.89
425.72055	8281.17
425.9404	8289.32
426.16022	8341.49
426.38007	8457.98
426.59988	8589.79
426.81973	8638.08
427.03955	8575.21
427.2594	8476.36
427.47922	8409.29
427.69907	8376.22
427.91888	8357.01
428.13873	8343.42
428.35855	8340.57
428.5784	8359.46
428.79822	8403.48
429.01807	8463.1
429.23788	8527.6
429.45773	8594.25
429.67755	8664.67
429.8974	8740.72
430.11722	8822.76
430.33707	8910.26
430.55688	9000.08
430.77673	9075.48
430.99655	9107.76
431.2164	9084.38
431.43625	9028.51
431.65607	8982.85
431.87592	8973.9
432.09573	8997.9
432.31558	9037.84
432.5354	9084.04
432.75525	9132.05
432.97507	9171.74
433.19492	9203.02
433.41473	9252.38
433.63458	9353.62
433.8544	9502.88
434.07425	9619.75
434.29407	9624.79
434.51392	9572.3
434.73373	9562.17
434.95358	9606.61
435.1734	9699.21
435.39325	9889.28
435.61307	10159.1
435.83292	10314.4
436.05273	10202.9
436.27258	9953.5
436.4924	9785.52
436.71225	9744.72
436.93207	9757.8
437.15192	9772.46
437.37177	9771.92
437.59158	9744.42
437.81143	9690.1
438.03125	9623.66
438.2511	9555.58
438.47092	9480.19
438.69077	9383.92
438.91058	9253.91
439.13043	9079.13
439.35025	8881.41
439.5701	8718.83
439.78992	8622.47
440.00977	8578.69
440.22958	8567.96
440.44943	8580.16
440.66925	8616.49
440.8891	8691.87
441.10892	8813.5
441.32877	8946.56
441.54858	9028.18
441.76843	9031.84
441.98825	9000.18
442.2081	8993.59
442.42792	9019.62
442.64777	9049.79
442.86758	9076.63
443.08743	9107.52
443.30725	9144.97
443.5271	9180.13
443.74695	9194.53
443.96677	9194.84
444.18661	9209.1
444.40643	9249.86
444.62628	9306.71
444.8461	9345.73
445.06595	9343.29
445.28577	9328.41
445.50562	9340.15
445.72543	9370.3
445.94528	9386.75
446.1651	9374.71
446.38495	9342.35
446.60477	9315.8
446.82462	9315.76
447.04443	9333.78
447.26428	9356.69
447.4841	9390.23
447.70395	9435.66
447.92377	9480.85
448.14362	9524.24
448.36343	9572.94
448.58328	9616.54
448.8031	9635.27
449.02295	9633.12
449.24277	9630.56
449.46262	9634.52
449.68243	9640.33
449.90228	9648.17
450.12213	9661.29
450.34195	9670.1
450.5618	9630.28
450.78162	9465.21
451.00146	9144.78
451.22128	8770.7
451.44113	8492.35
451.66095	8351.59
451.8808	8289.91
452.10062	8251.62
452.32047	8226.01
452.54028	8217.75
452.76013	8223.31
452.97995	8244.26
453.1998	8291.48
453.41962	8358.48
453.63947	8416.36
453.85928	8457.14
454.07913	8505.98
454.29895	8567.48
454.5188	8617.33
454.73862	8651.14
454.95847	8673.64
455.17828	8670.92
455.39813	8640.9
455.61795	8606.31
455.8378	8588.73
456.05762	8596.26
456.27747	8620.49
456.49731	8642.98
456.71713	8658.25
456.93698	8675.29
457.1568	8692.05
457.37665	8702.46
457.59647	8730.19
457.81631	8774.73
458.03613	8768.03
458.25598	8683.18
458.4758	8599.75
458.69565	8584.77
458.91547	8600.18
459.13531	8593.01
459.35513	8584.28
459.57498	8588.47
459.7948	8559.03
460.01465	8497.23
460.23447	8472.08
460.45432	8497.96
460.67413	8513.94
460.89398	8489.66
461.1138	8459.68
461.33365	8455.93
461.55347	8470.94
461.77332	8483.36
461.99313	8481.21
462.21298	8470.95
462.43283	8485.54
462.65265	8560.12
462.8725	8671.94
463.09232	8735.83
463.31216	8699.56
463.53198	8606.3
463.75183	8529.12
463.97165	8497.34
464.1915	8510.24
464.41132	8559.22
464.63116	8619.83
464.85098	8670.01
465.07083	8710.29
465.29065	8740.43
465.5105	8754.59
465.73032	8770.07
465.95016	8800.65
466.16998	8812.61
466.38983	8780.24
466.60965	8742.33
466.8295	8736.07
467.04932	8745.95
467.26917	8759.11
467.48898	8779.29
467.70883	8791.99
467.92865	8806.4
468.1485	8842.99
468.36832	8858.19
468.58817	8836.34
468.80801	8817.87
469.02783	8788.44
469.24768	8741.21
469.4675	8722.51
469.68735	8728.89
469.90717	8727.8
470.12701	8724.33
470.34683	8721.44
470.56668	8712.98
470.7865	8709.35
471.00635	8713.28
471.22617	8718.51
471.44601	8723.52
471.66583	8726.23
471.88568	8730.91
472.1055	8735.52
472.32535	8726.56
472.54517	8709.33
472.76501	8695.42
472.98483	8680.36
473.20468	8658.49
473.4245	8634.04
473.64435	8616.5
473.86417	8598.79
474.08401	8569.57
474.30383	8538.21
474.52368	8514.44
474.7435	8506.92
474.96335	8525.96
475.1832	8564.93
475.40302	8604.49
475.62286	8629.17
475.84268	8642.16
476.06253	8667.67
476.28235	8725.04
476.5022	8804.84
476.72202	8881.66
476.94186	8942.52
477.16168	9000.82
477.38153	9075.95
477.60135	9158.82
477.8212	9218.6
478.04102	9250.73
478.26086	9283.87
478.48068	9334.16
478.70053	9387.98
478.92035	9419.48
479.1402	9422.25
479.36002	9416.95
479.57986	9435.37
479.79968	9489.59
480.01953	9551.45
480.23935	9601
480.4592	9654.09
480.67902	9717.06
480.89886	9768.3
481.11871	9788.98
481.33853	9790.13
481.55838	9802.64
481.7782	9845.67
481.99805	9912.76
482.21786	9977.6
482.43771	10007.6
482.65753	9988.25
482.87738	9926.75
483.0972	9797.93
483.31705	9510.24
483.53687	9020.8
483.75671	8474.52
483.97653	8087.56
484.19638	7918.04
484.4162	7881.36
484.63605	7893.89
484.85587	7916.81
485.07571	7963.23
485.29553	8114.15
485.51538	8485.42
485.7352	9100.89
485.95505	9716.01
486.17487	9898.25
486.39471	9492.55
486.61453	8831.76
486.83438	8317.95
487.0542	8056.42
487.27405	7953
487.4939	7908.85
487.71371	7877.77
487.93356	7853.69
488.15338	7843.94
488.37323	7848.14
488.59305	7860.09
488.8129	7877.09
489.03271	7899.67
489.25256	7926.09
489.47238	7950.98
489.69223	7971.78
489.91205	7985.03
490.1319	7982.3
490.35172	7967.79
490.57156	7967.16
490.79138	7996.33
491.01123	8029.09
491.23105	8031.63
491.4509	8017.9
491.67072	8024.37
491.89056	8047.27
492.11038	8056.68
492.33023	8061.06
492.55005	8097.08
492.7699	8161.15
492.98972	8202.91
493.20956	8186.82
493.42938	8124.31
493.64923	8058.83
493.86908	8020.5
494.0889	7990.45
494.30875	7943.66
494.52856	7897.7
494.74841	7879.46
494.96823	7874.06
495.18808	7860.4
495.4079	7861
495.62775	7897.67
495.84756	7934.66
496.06741	7918.98
496.28723	7857.6
496.50708	7806.14
496.7269	7790.15
496.94675	7787.26
497.16656	7779.84
497.38641	7771.54
497.60623	7756.9
497.82608	7721.97
498.0459	7677.23
498.26575	7652.12
498.48557	7648
498.70541	7636.79
498.92523	7617.96
499.14508	7628.7
499.3649	7680.09
499.58475	7734.43
499.80457	7764.15
500.02441	7782.9
500.24426	7804.18
500.46408	7824.97
500.68393	7863.21
500.90375	7941.04
501.1236	8017.27
501.34341	8023.98
501.56326	7982.18
501.78308	7964.99
502.00293	7955.35
502.22275	7908.4
502.4426	7886.5
502.66241	7938.3
502.88226	7998.97
503.10208	8013.48
503.32193	8014.2
503.54175	8028.29
503.7616	8038.23
503.98141	8043.43
504.20126	8056.94
504.42108	8066.57
504.64093	8069.15
504.86075	8088.74
505.0806	8115.79
505.30042	8117.33
505.52026	8107.46
505.74008	8107.94
505.95993	8101.72
506.17978	8092.64
506.3996	8107.42
506.61945	8128.27
506.83926	8135.22
