Date and Time:                Fri Apr 13 12:59:06.838 2018
Software Version:             4.30.30034.0
Temperature (C):              -30
Model:                        DH334T-18U-03
Data Type:                    Counts
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         2
Accumulate Cycle Time (secs): 2
Frequency (Hz):               0.5
Number of Accumulations:      10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         true
Vertical Shift Speed (usecs): 6.5
Pixel Readout Rate (MHz):     0.05
Clock Amplitude:              Normal
Serial Number:                5999
Pre-Amplifier Gain:           1.000000
Intelligate:                  off
Insertion delay:              normal
Gain level:                   500
Integrate on chip:            off
PIV Mode:                     off
Gate Mode:                    Fire only
Gate Width (nsecs):           0
Gate Delay (nsecs):           0
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR750:
Serial Number:                SR-1311
Wavelength (nm):              474.998
Grating Groove Density (l/mm):1199.66
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



460	8428
460.00394	8433.78
460.0079	8439.6
460.01187	8445.42
460.01584	8431.98
460.01978	8388.06
460.02374	8343.81
460.02771	8299.94
460.03168	8287.52
460.03561	8285.6
460.03958	8283.66
460.04355	8287.33
460.04752	8314.09
460.05145	8341.87
460.05542	8369.61
460.05939	8376.67
460.06335	8364.75
460.06729	8352.93
460.07126	8336.05
460.07523	8289.36
460.07919	8234.04
460.08313	8179.15
460.0871	8151.13
460.09106	8174.03
460.09503	8200.36
460.09897	8225.79
460.10294	8235
460.1069	8235
460.11084	8235
460.11481	8239.23
460.11877	8260.01
460.12274	8283.57
460.12668	8306.95
460.13065	8315.48
460.13461	8305.6
460.13858	8295.64
460.14252	8285.76
460.14648	8298.6
460.15045	8316.34
460.15442	8334.08
460.15836	8343.8
460.16232	8323.56
460.16629	8303.33
460.17026	8283.09
460.17419	8292.57
460.17816	8322.23
460.18213	8351.88
460.1861	8380.03
460.19003	8369.03
460.194	8355.75
460.19797	8342.48
460.2019	8335.77
460.20587	8340.75
460.20984	8345.74
460.21381	8350.85
460.21774	8358.75
460.22171	8367.9
460.22568	8377.05
460.22964	8384.3
460.23358	8384.69
460.23755	8384.41
460.24152	8384.54
460.24548	8406.38
460.24942	8449.47
460.25339	8492.9
460.25735	8528.84
460.26132	8519.23
460.26526	8495.03
460.26923	8470.64
460.27319	8461.16
460.27716	8479.9
460.2811	8500.8
460.28506	8521.76
460.28903	8522.03
460.293	8511.5
460.29694	8501.05
460.3009	8497.92
460.30487	8531.22
460.30881	8569.37
460.31277	8607.82
460.31674	8625.54
460.32071	8615.01
460.32465	8604.56
460.32861	8594.03
460.33258	8572.97
460.33655	8549.41
460.34048	8526.03
460.34445	8515.26
460.34842	8558.23
460.35239	8601.19
460.35632	8643.82
460.36029	8657.69
460.36426	8650.22
460.36823	8642.76
460.37216	8635.63
460.37613	8632.62
460.3801	8630.13
460.38406	8627.63
460.388	8622.53
460.39197	8612.27
460.39594	8602.02
460.39987	8591.54
460.40384	8575.97
460.40781	8557.96
460.41177	8539.94
460.41571	8526.83
460.41968	8529.83
460.42365	8535.1
460.42761	8540.48
460.43155	8564.92
460.43552	8609.46
460.43948	8653.99
460.44345	8693.88
460.44739	8701.35
460.45135	8698.3
460.45532	8695.25
460.45929	8686.43
460.46323	8665.89
460.46719	8644.27
460.47116	8622.65
460.47513	8651.18
460.47906	8706.74
460.48303	8762.73
460.487	8817.42
460.49097	8863.47
460.4949	8908.21
460.49887	8953.3
460.50284	8983.28
460.50677	8991.25
460.51074	8999.29
460.51471	9007.33
460.51868	9007.24
460.52261	9005.04
460.52658	9002.83
460.53055	9007.67
460.53452	9045.37
460.53845	9082.77
460.54242	9120.47
460.54639	9135.6
460.55035	9133.1
460.55429	9130.63
460.55826	9121.32
460.56223	9049.23
460.56619	8965.97
460.57013	8883.36
460.5741	8816.43
460.57806	8783.73
460.58203	8751.02
460.58597	8720.04
460.58994	8710.18
460.5939	8711.84
460.59784	8713.49
460.60181	8713.05
460.60577	8705.61
460.60974	8697.02
460.61368	8688.49
460.61765	8718.33
460.62161	8788.58
460.62558	8859.39
460.62952	8924.59
460.63348	8945.92
460.63745	8952.85
460.64142	8959.78
460.64536	8962.3
460.64932	8954.7
460.65329	8946.39
460.65726	8938.07
460.66119	8942.6
460.66516	8954.79
460.66913	8966.99
460.6731	8977.43
460.67703	8967.83
460.681	8956.74
460.68497	8945.65
460.68893	8929.71
460.69287	8906.65
460.69684	8883.42
460.70081	8860.18
460.70474	8831.97
460.70871	8802.04
460.71268	8772.1
460.71664	8747.36
460.72058	8749.56
460.72455	8751.78
460.72852	8753.99
460.73248	8758.48
460.73642	8764.81
460.74039	8771.18
460.74435	8778.77
460.74832	8795.29
460.75226	8813.71
460.75623	8832.29
460.76019	8853.03
460.76416	8878.11
460.7681	8903.08
460.77206	8927.02
460.77603	8933.31
460.78	8929.43
460.78394	8925.58
460.7879	8918.15
460.79187	8898.72
460.79581	8877.26
460.79977	8855.64
460.80374	8848.72
460.80771	8857.77
460.81165	8867.13
460.81561	8875.38
460.81958	8868.38
460.82355	8857.02
460.82748	8845.74
460.83145	8836.47
460.83542	8832.92
460.83939	8829.6
460.84332	8826.3
460.84729	8789.96
460.85126	8732.31
460.85522	8674.66
460.85916	8619.53
460.86313	8631.58
460.8671	8646.27
460.87106	8660.96
460.875	8665.72
460.87897	8654.35
460.88293	8642.99
460.8869	8631.62
460.89084	8610.21
460.89481	8585.54
460.89877	8560.88
460.90271	8535.59
460.90668	8506.08
460.91064	8476.48
460.91461	8446.96
460.91855	8437.06
460.92252	8444.82
460.92648	8452.58
460.93045	8459.05
460.93439	8457.48
460.93835	8453.6
460.94232	8449.72
460.94629	8440.91
460.95023	8423
460.95419	8404.43
460.95816	8387.41
460.96213	8398.41
460.96606	8425.09
460.97003	8451.97
460.974	8474.1
460.97797	8478.78
460.9819	8480.43
460.98587	8482.09
460.98984	8481.46
460.99377	8478.2
460.99774	8474.88
461.00171	8471.93
461.00568	8480.21
461.00961	8491.21
461.01358	8502.3
461.01755	8508.15
461.02151	8496.18
461.02545	8484.07
461.02942	8471.88
461.03339	8465.34
461.03735	8462.57
461.04129	8459.81
461.04526	8457.04
461.04922	8459.46
461.05319	8461.95
461.05713	8464.43
461.0611	8471.62
461.06506	8486.83
461.06903	8502.04
461.07297	8516.2
461.07693	8479.01
461.0809	8422.75
461.08487	8366.48
461.08881	8321.31
461.09277	8318.94
461.09674	8319.77
461.10068	8320.58
461.10464	8320
461.10861	8318.06
461.11258	8316.12
461.11652	8317.15
461.12048	8336.45
461.12445	8361.4
461.12842	8386.35
461.13235	8415.13
461.13632	8451.71
461.14029	8488.86
461.14426	8525.85
461.14819	8558.18
461.15216	8588.33
461.15613	8618.47
461.1601	8646.67
461.16403	8666.43
461.168	8685
461.17197	8703.57
461.17593	8704.28
461.17987	8682.27
461.18384	8660.1
461.18781	8637.92
461.19174	8634.9
461.19571	8636.01
461.19968	8637.12
461.20364	8635.41
461.20758	8623.03
461.21155	8610.56
461.21552	8598.09
461.21948	8593.33
461.22342	8593.88
461.22739	8594.43
461.23135	8595.28
461.23532	8602.58
461.23926	8610.28
461.24323	8618.04
461.24719	8612.6
461.25116	8583.83
461.2551	8555.29
461.25906	8527
461.26303	8509.58
461.267	8496.83
461.27094	8484.18
461.2749	8473.55
461.27887	8470.51
461.28284	8468.29
461.28677	8466.06
461.29074	8461.9
461.29471	8455.81
461.29865	8449.75
461.30261	8443.9
461.30658	8439.54
461.31055	8435.66
461.31448	8431.81
461.31845	8455.01
461.32242	8529.52
461.32639	8608.24
461.33032	8686.36
461.33429	8712.27
461.33826	8711.16
461.34222	8710.05
461.34616	8698.46
461.35013	8630.99
461.3541	8555.88
461.35806	8480.76
461.362	8451.6
461.36597	8483.76
461.36993	8515.91
461.3739	8548.06
461.37784	8605.94
461.38181	8670.25
461.38577	8734.55
461.38971	8777.42
461.39368	8732.79
461.39764	8688.16
461.40161	8643.54
461.40555	8651.23
461.40952	8696.68
461.41348	8742.14
461.41745	8784.44
461.42139	8788.73
461.42535	8788.46
461.42932	8788.18
461.43329	8778.31
461.43723	8751.14
461.44119	8723.76
461.44516	8697.03
461.44913	8679.88
461.45306	8667.51
461.45703	8655.03
461.461	8645.58
461.46497	8645.85
461.4689	8647.51
461.47287	8649.08
461.47684	8622.14
461.4808	8566.43
461.48474	8511.14
461.48871	8461.33
461.49268	8451.94
461.49661	8455.24
461.50058	8458.57
461.50455	8454.02
461.50851	8433.56
461.51245	8412.1
461.51642	8390.48
461.52039	8400.94
461.52435	8428.38
461.52829	8455.61
461.53226	8482.89
461.53622	8509.06
461.54019	8535.11
461.54413	8560.97
461.5481	8570.15
461.55206	8556.32
461.55603	8542.49
461.55997	8528.77
461.56393	8551.72
461.5679	8583.88
461.57187	8616.03
461.57581	8648.81
461.57977	8685.67
461.58374	8722.54
461.58768	8759.12
461.59164	8761.27
461.59561	8737.16
461.59958	8713.04
461.60352	8692.67
461.60748	8702.54
461.61145	8717.79
461.61542	8733.03
461.61935	8740.84
461.62332	8734.47
461.62729	8728.09
461.63126	8721.43
461.63519	8711.18
461.63916	8698.99
461.64313	8686.79
461.64709	8672.71
461.65103	8652.97
461.655	8632.18
461.65897	8611.39
461.66293	8603.48
461.66687	8608.02
461.67084	8612.72
461.6748	8617.42
461.67877	8622.13
461.68271	8626.81
461.68668	8631.52
461.69064	8648.03
461.69458	8690.26
461.69855	8734.33
461.70251	8778.41
461.70648	8832.87
461.71042	8892.55
461.71439	8952.7
461.71835	9006.18
461.72232	8995.86
461.72626	8981.28
461.73022	8966.59
461.73419	8973.31
461.73816	9010.18
461.7421	9046.76
461.74606	9083.63
461.75003	9074.37
461.754	9053.58
461.75793	9032.95
461.7619	9014.67
461.76587	9007.46
461.76984	9000.26
461.77377	8993.1
461.77774	8943.77
461.78171	8862.55
461.78564	8781.96
461.78961	8705.86
461.79358	8664.55
461.79755	8630.53
461.80148	8596.77
461.80545	8566.41
461.80942	8543.02
461.81339	8519.73
461.81732	8497.51
461.82129	8486.63
461.82526	8481.92
461.82922	8477.21
461.83316	8471.53
461.83713	8462.63
461.84109	8453.21
461.84506	8443.78
461.849	8428.97
461.85297	8408.55
461.85693	8388.04
461.8609	8368.85
461.86484	8363.07
461.8688	8360.86
461.87277	8358.64
461.87674	8364.96
461.88068	8391.75
461.88464	8419.47
461.88861	8447.19
461.89255	8438.42
461.89651	8409.31
461.90048	8380.21
461.90445	8354.44
461.90839	8388.02
461.91235	8423.22
461.91632	8458.42
461.92029	8504.33
461.92422	8564.84
