RADICAL: OH
QUANTITY: ABSORPTION
UNITS   :m2J-1s-1
BAND  (A-X)
X v''  ,A v'= 0  ,A v'= 1  ,A v'= 2  ,A v'= 3  ,A v'= 4  ,A v'= 5  ,A v'= 6  ,A v'= 7  ,A v'= 8 
0  , 4.288e09  , 1.044e09  , 1.621e08  , 2.285e07  , 3.347e06  , 5.023e05  , 8.088e04  , 1.453e04  , 3.260e03  
1  , 2.679e07  , 2.707e09  , 1.657e09  , 4.547e08  , 9.966e07  , 2.004e07  , 4.185e06  , 9.887e05  , 3.012e05  
2  , 1.177e06  , 3.251e07  , 1.510e09  , 1.803e09  , 8.050e08  , 2.498e08  , 6.950e07  , 1.998e07  , 7.014e06  
3  , 9.938e04  , 5.155e06  , 2.200e07  , 6.970e08  , 1.571e09  , 1.041e09  , 4.458e08  , 1.666e08  , 6.923e07  
4  , 5.412e01  , 6.410e05  , 1.503e07  , 7.766e06  , 2.508e08  , 1.063e09  , 1.014e09  , 5.777e08  , 3.068e08  
5  , 3.195e02  , 1.124e03  , 2.322e06  , 3.427e07  , 2.428e05  , 5.638e07  , 4.708e08  , 6.258e08  , 5.149e08  
6  , 2.163e02  , 5.362e02  , 1.378e04  , 6.815e06  , 6.924e07  , 3.299e06  , 4.759e06  , 8.825e07  , 1.972e08  
7  , 5.589e01  , 2.958e02  , 1.225e03  , 1.166e05  , 1.669e07  , 1.224e08  , 7.377e06  , 1.155e06  , 3.612e06  
8  , 1.811e00  , 1.243e02  , 5.616e01  , 2.546e02  , 4.398e05  , 3.742e07  , 1.745e08  , 1.298e02  , 4.881e06  
9  , 3.764e00  , 5.185e00  , 9.036e01  , 8.741e01  , 3.066e03  , 1.727e06  , 7.947e07  , 1.398e08  , 4.017e07  
10  , 1.020e01  , 4.536e01  , 1.663e02  , 7.774e02  , 1.320e03  , 7.583e03  , 6.336e06  , 1.147e08  , 1.219e07  
