RADICAL: OH
QUANTITY: EMISSION
UNITS   :s-1
BAND  (A-X)
X v''  ,A v'= 0  ,A v'= 1  ,A v'= 2  ,A v'= 3  ,A v'= 4  ,A v'= 5  ,A v'= 6  ,A v'= 7  ,A v'= 8 
0  , 1.451e06  , 4.606e05  , 8.983e04  , 1.542e04  , 2.679e03  , 4.656e02  , 8.489e01  , 1.688e01  , 4.091e00  
1  , 6.387e03  , 8.678e05  , 6.838e05  , 2.331e05  , 6.157e04  , 1.452e04  , 3.470e03  , 9.147e02  , 3.028e02  
2  , 1.924e02  , 7.421e03  , 4.568e05  , 6.931e05  , 3.797e05  , 1.402e05  , 4.517e04  , 1.462e04  , 5.615e03  
3  , 1.079e01  , 8.181e02  , 4.789e03  , 1.980e05  , 5.592e05  , 4.484e05  , 2.252e05  , 9.574e04  , 4.385e04  
4  , 3.753e-03  , 6.877e01  , 2.305e03  , 1.604e03  , 6.650e04  , 3.476e05  , 3.948e05  , 2.589e05  , 1.528e05  
5  , 1.348e-02  , 7.883e-02  , 2.450e02  , 5.056e03  , 4.731e01  , 1.385e04  , 1.400e05  , 2.169e05  , 2.002e05  
6  , 5.215e-03  , 2.363e-02  , 9.735e-01  , 7.039e02  , 9.766e03  , 6.016e02  , 1.071e03  , 2.349e04  , 5.948e04  
7  , 7.096e-04  , 7.798e-03  , 5.610e-02  , 8.248e00  , 1.677e03  , 1.638e04  , 1.246e03  , 2.345e02  , 8.404e02  
8  , 1.080e-05  , 1.843e-03  , 1.606e-03  , 1.204e-02  , 3.098e01  , 3.631e03  , 2.191e04  , 1.995e-02  , 8.713e02  
9  , 8.897e-06  , 3.998e-05  , 1.546e-03  , 2.693e-03  , 1.489e-01  , 1.202e02  , 7.370e03  , 1.620e04  , 5.486e03  
10  , 7.228e-06  , 1.640e-04  , 1.621e-03  , 1.521e-02  , 4.358e-02  , 3.758e-01  , 4.321e02  , 1.001e04  , 1.272e03  
