RADICAL: OH
QUANTITY: HONL-LONDON
UNITS   :No units
BAND  (A-X)
X v''  ,A v'= 0  ,A v'= 1  ,A v'= 2  ,A v'= 3  ,A v'= 4  ,A v'= 5  ,A v'= 6  ,A v'= 7  ,A v'= 8 
0  ,  1.177  ,  1.177  ,  1.177  ,  1.177  ,  1.177  ,  1.177  ,  1.177  ,  1.177  ,  1.177  
1  ,  1.173  ,  1.173  ,  1.173  ,  1.173  ,  1.173  ,  1.173  ,  1.173  ,  1.173  ,  1.173  
2  ,  1.168  ,  1.168  ,  1.168  ,  1.168  ,  1.168  ,  1.168  ,  1.168  ,  1.168  ,  1.168  
3  ,  1.164  ,  1.164  ,  1.164  ,  1.164  ,  1.164  ,  1.164  ,  1.164  ,  1.164  ,  1.164  
4  ,  1.159  ,  1.159  ,  1.159  ,  1.159  ,  1.159  ,  1.159  ,  1.159  ,  1.159  ,  1.159  
5  ,  1.154  ,  1.154  ,  1.154  ,  1.154  ,  1.154  ,  1.154  ,  1.154  ,  1.154  ,  1.154  
6  ,  1.149  ,  1.149  ,  1.149  ,  1.149  ,  1.149  ,  1.149  ,  1.149  ,  1.149  ,  1.149  
7  ,  1.144  ,  1.144  ,  1.144  ,  1.144  ,  1.144  ,  1.144  ,  1.144  ,  1.144  ,  1.144  
8  ,  1.138  ,  1.138  ,  1.138  ,  1.138  ,  1.138  ,  1.138  ,  1.138  ,  1.138  ,  1.138  
9  ,  1.133  ,  1.133  ,  1.133  ,  1.133  ,  1.133  ,  1.133  ,  1.133  ,  1.133  ,  1.133  
10  ,  1.126  ,  1.126  ,  1.126  ,  1.126  ,  1.126  ,  1.126  ,  1.126  ,  1.126  ,  1.126  
