RADICAL: OH
QUANTITY: LIFETIMES
UNITS   :ns
BAND  (A-X)
X v''  ,A v'= 0  ,A v'= 1  ,A v'= 2  ,A v'= 3  ,A v'= 4  ,A v'= 5  ,A v'= 6  ,A v'= 7  ,A v'= 8 
0  ,  686.0000  ,  748.1788  ,  808.0028  ,  872.0995  ,  925.1786  ,  1014.8260  ,  1189.6350  ,  1570.3440  ,  2125.0260  
1  ,  686.0000  ,  748.1788  ,  808.0028  ,  872.0995  ,  925.1786  ,  1014.8260  ,  1189.6350  ,  1570.3440  ,  2125.0260  
2  ,  686.0000  ,  748.1788  ,  808.0028  ,  872.0995  ,  925.1786  ,  1014.8260  ,  1189.6350  ,  1570.3440  ,  2125.0260  
3  ,  686.0000  ,  748.1788  ,  808.0028  ,  872.0995  ,  925.1786  ,  1014.8260  ,  1189.6350  ,  1570.3440  ,  2125.0260  
4  ,  686.0000  ,  748.1788  ,  808.0028  ,  872.0995  ,  925.1786  ,  1014.8260  ,  1189.6350  ,  1570.3440  ,  2125.0260  
5  ,  686.0000  ,  748.1788  ,  808.0028  ,  872.0995  ,  925.1786  ,  1014.8260  ,  1189.6350  ,  1570.3440  ,  2125.0260  
6  ,  686.0000  ,  748.1788  ,  808.0028  ,  872.0995  ,  925.1786  ,  1014.8260  ,  1189.6350  ,  1570.3440  ,  2125.0260  
7  ,  686.0000  ,  748.1788  ,  808.0028  ,  872.0995  ,  925.1786  ,  1014.8260  ,  1189.6350  ,  1570.3440  ,  2125.0260  
8  ,  686.0000  ,  748.1788  ,  808.0028  ,  872.0995  ,  925.1786  ,  1014.8260  ,  1189.6350  ,  1570.3440  ,  2125.0260  
9  ,  686.0000  ,  748.1788  ,  808.0028  ,  872.0995  ,  925.1786  ,  1014.8260  ,  1189.6350  ,  1570.3440  ,  2125.0260  
10  ,  686.0000  ,  748.1788  ,  808.0028  ,  872.0995  ,  925.1786  ,  1014.8260  ,  1189.6350  ,  1570.3440  ,  2125.0260  
