RADICAL: OH
QUANTITY: FREQUENCIES
UNITS   :Angstrom (Vacuum)
BAND  (A-X)
X v''  ,A v'= 0  ,A v'= 1  ,A v'= 2  ,A v'= 3  ,A v'= 4  ,A v'= 5  ,A v'= 6  ,A v'= 7  ,A v'= 8 
0  , 3089.00  , 2827.92  , 2620.89  , 2454.07  , 2318.35  , 2207.67  , 2118.09  , 2047.66  , 1995.66  
1  , 3471.71  , 3145.35  , 2891.33  , 2689.64  , 2527.46  , 2396.49  , 2291.31  , 2209.11  , 2148.71  
2  , 3936.81  , 3522.37  , 3206.86  , 2960.62  , 2765.32  , 2609.30  , 2485.09  , 2388.70  , 2318.23  
3  , 4512.22  , 3976.03  , 3578.61  , 3274.68  , 3037.41  , 2850.22  , 2702.66  , 2589.04  , 2506.47  
4  , 5239.59  , 4530.20  , 4021.37  , 3641.57  , 3350.52  , 3124.19  , 2947.78  , 2813.13  , 2715.92  
5  , 6183.75  , 5219.20  , 4555.17  , 4073.89  , 3713.05  , 3437.12  , 3224.80  , 3064.35  , 2949.35  
6  , 7450.98  , 6093.98  , 5207.60  , 4587.96  , 4135.38  , 3795.97  , 3538.67  , 3346.40  , 3209.73  
7  , 9227.61  , 7232.95  , 6017.33  , 5205.05  , 4630.16  , 4208.82  , 3894.82  , 3663.17  , 3500.03  
8  , 11871.18  , 8762.45  , 7039.59  , 5952.81  , 5212.62  , 4684.65  , 4298.90  , 4018.42  , 3822.95  
9  , 16159.24  , 10896.84  , 8354.21  , 6866.52  , 5900.11  , 5232.61  , 4755.94  , 4415.01  , 4180.18  
10  , 24148.63  , 14026.08  , 10077.99  , 7989.76  , 6710.77  , 5860.46  , 5269.00  , 4853.76  , 4571.44  
