RADICAL: OH
QUANTITY: FREQUENCIES
UNITS   :Angstrom (Vacuum)
BAND  (A-X)
X v''  ,A v'= 0  ,A v'= 1  ,A v'= 2  ,A v'= 3  ,A v'= 4  ,A v'= 5  ,A v'= 6  ,A v'= 7  ,A v'= 8 
0  , 32363.55  , 35351.29  , 38143.55  , 40736.24  , 43120.96  , 45282.43  , 47197.31  , 48820.48  , 50092.50  
1  , 28796.04  , 31783.78  , 34576.05  , 37168.73  , 39553.46  , 41714.93  , 43629.80  , 45252.98  , 46524.99  
2  , 25394.11  , 28381.85  , 31174.12  , 33766.80  , 36151.53  , 38313.00  , 40227.88  , 41851.04  , 43123.06  
3  , 22155.84  , 25143.58  , 27935.84  , 30528.53  , 32913.26  , 35074.73  , 36989.60  , 38612.77  , 39884.79  
4  , 19080.15  , 22067.89  , 24860.15  , 27452.84  , 29837.56  , 31999.03  , 33913.91  , 35537.08  , 36809.09  
5  , 16166.94  , 19154.68  , 21946.95  , 24539.63  , 26924.36  , 29085.83  , 31000.70  , 32623.87  , 33895.89  
6  , 13417.37  , 16405.11  , 19197.37  , 21790.06  , 24174.78  , 26336.25  , 28251.13  , 29874.30  , 31146.31  
7  , 10834.07  , 13821.81  , 16614.07  , 19206.77  , 21591.49  , 23752.96  , 25667.83  , 27291.00  , 28563.02  
8  , 8421.46  , 11409.20  , 14201.46  , 16794.15  , 19178.87  , 21340.34  , 23255.22  , 24878.39  , 26150.40  
9  , 6186.72  , 9174.46  , 11966.72  , 14559.41  , 16944.13  , 19105.60  , 21020.48  , 22643.65  , 23915.66  
10  , 4139.89  , 7127.63  , 9919.89  , 12512.58  , 14897.31  , 17058.77  , 18973.65  , 20596.82  , 21868.84  
