RADICAL: OH
QUANTITY: FREQUENCIES
UNITS   :Angstrom (Vacuum)
BAND  (A-X)
X v''  ,A v'= 0  ,A v'= 1  ,A v'= 2  ,A v'= 3  ,A v'= 4  ,A v'= 5  ,A v'= 6  ,A v'= 7  ,A v'= 8 
0  , 3089.90  , 2828.75  , 2621.68  , 2454.82  , 2319.06  , 2208.36  , 2118.77  , 2048.32  , 1996.31  
1  , 3472.70  , 3146.26  , 2892.18  , 2690.43  , 2528.22  , 2397.22  , 2292.01  , 2209.80  , 2149.38  
2  , 3937.92  , 3523.38  , 3207.79  , 2961.49  , 2766.14  , 2610.08  , 2485.84  , 2389.43  , 2318.95  
3  , 4513.48  , 3977.16  , 3579.63  , 3275.62  , 3038.29  , 2851.06  , 2703.46  , 2589.82  , 2507.22  
4  , 5241.05  , 4531.47  , 4022.50  , 3642.61  , 3351.48  , 3125.10  , 2948.64  , 2813.96  , 2716.72  
5  , 6185.46  , 5220.66  , 4556.44  , 4075.04  , 3714.11  , 3438.10  , 3225.73  , 3065.24  , 2950.21  
6  , 7453.03  , 6095.66  , 5209.05  , 4589.25  , 4136.54  , 3797.05  , 3539.68  , 3347.36  , 3210.65  
7  , 9230.14  , 7234.94  , 6018.99  , 5206.50  , 4631.46  , 4210.00  , 3895.93  , 3664.21  , 3501.03  
8  , 11874.43  , 8764.86  , 7041.53  , 5954.46  , 5214.07  , 4685.96  , 4300.11  , 4019.55  , 3824.03  
9  , 16163.66  , 10899.83  , 8356.51  , 6868.41  , 5901.75  , 5234.07  , 4757.27  , 4416.25  , 4181.36  
10  , 24155.22  , 14029.91  , 10080.75  , 7991.96  , 6712.62  , 5862.09  , 5270.47  , 4855.12  , 4572.72  
