RADICAL: OH
QUANTITY: TRAN. PROB.
UNITS   :arbitrary units
BAND  (A-X)
X v''  ,A v'= 0  ,A v'= 1  ,A v'= 2  ,A v'= 3  ,A v'= 4  ,A v'= 5  ,A v'= 6  ,A v'= 7  ,A v'= 8 
0  , 1.073e-02  , 2.613e-03  , 4.058e-04  , 5.717e-05  , 8.376e-06  , 1.257e-06  , 2.024e-07  , 3.637e-08  , 8.159e-09  
1  , 6.706e-05  , 6.775e-03  , 4.147e-03  , 1.138e-03  , 2.494e-04  , 5.014e-05  , 1.047e-05  , 2.474e-06  , 7.537e-07  
2  , 2.945e-06  , 8.137e-05  , 3.780e-03  , 4.513e-03  , 2.015e-03  , 6.250e-04  , 1.739e-04  , 5.001e-05  , 1.755e-05  
3  , 2.487e-07  , 1.290e-05  , 5.506e-05  , 1.744e-03  , 3.932e-03  , 2.605e-03  , 1.116e-03  , 4.169e-04  , 1.733e-04  
4  , 1.355e-10  , 1.604e-06  , 3.761e-05  , 1.943e-05  , 6.275e-04  , 2.659e-03  , 2.537e-03  , 1.446e-03  , 7.678e-04  
5  , 7.997e-10  , 2.812e-09  , 5.811e-06  , 8.576e-05  , 6.076e-07  , 1.411e-04  , 1.178e-03  , 1.566e-03  , 1.289e-03  
6  , 5.412e-10  , 1.342e-09  , 3.449e-08  , 1.706e-05  , 1.733e-04  , 8.256e-06  , 1.191e-05  , 2.208e-04  , 4.935e-04  
7  , 1.399e-10  , 7.403e-10  , 3.067e-09  , 2.918e-07  , 4.176e-05  , 3.063e-04  , 1.846e-05  , 2.892e-06  , 9.040e-06  
8  , 4.533e-12  , 3.110e-10  , 1.405e-10  , 6.370e-10  , 1.101e-06  , 9.366e-05  , 4.368e-04  , 3.247e-10  , 1.221e-05  
9  , 9.419e-12  , 1.298e-11  , 2.261e-10  , 2.187e-10  , 7.674e-09  , 4.321e-06  , 1.989e-04  , 3.498e-04  , 1.005e-04  
10  , 2.554e-11  , 1.135e-10  , 4.163e-10  , 1.946e-09  , 3.305e-09  , 1.898e-08  , 1.586e-05  , 2.871e-04  , 3.050e-05  
